Please use tf.one_hot on tensors.
Extracting ./data/t10k-labels-idx1-ubyte.gz
WARNING:tensorflow:From C:\Users\codesky\AppData\Local\Programs\Python\Python36\lib\site-packages\tensorflow\contrib\learn\python\learn\datasets\mnist.py:290: DataSet.__init__ (from tensorflow.contrib.learn.python.learn.datasets.mnist) is deprecated and will be removed in a future version.
Instructions for updating:
Please use alternatives such as official/mnist/dataset.py from tensorflow/models.
RBM:  0   784 -> 500
RBM:  1   500 -> 200
RBM:  2   200 -> 50
New RBM:
2019-01-19 20:01:36.263732: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2
Epoch: 95 reconstruction error: 0.039409
Epoch: 96 reconstruction error: 0.038994
Epoch: 97 reconstruction error: 0.039339
Epoch: 98 reconstruction error: 0.038923
Epoch: 99 reconstruction error: 0.038920
New RBM:
Epoch: 0 reconstruction error: 0.041813
Epoch: 1 reconstruction error: 0.037671
Epoch: 2 reconstruction error: 0.035519
Epoch: 3 reconstruction error: 0.034216
Epoch: 4 reconstruction error: 0.033613
Epoch: 5 reconstruction error: 0.032730
Epoch: 6 reconstruction error: 0.032112
Epoch: 7 reconstruction error: 0.031351
Epoch: 8 reconstruction error: 0.030946
Epoch: 9 reconstruction error: 0.030947
Epoch: 10 reconstruction error: 0.030140
Epoch: 11 reconstruction error: 0.029711
Epoch: 12 reconstruction error: 0.029363
Epoch: 13 reconstruction error: 0.029097
Epoch: 14 reconstruction error: 0.028590
Epoch: 15 reconstruction error: 0.028112
Epoch: 16 reconstruction error: 0.027981
Epoch: 17 reconstruction error: 0.027664
Epoch: 18 reconstruction error: 0.027283
Epoch: 19 reconstruction error: 0.027173
Epoch: 20 reconstruction error: 0.026995
Epoch: 21 reconstruction error: 0.026789
Epoch: 22 reconstruction error: 0.026729
Epoch: 23 reconstruction error: 0.026538
Epoch: 24 reconstruction error: 0.026375
Epoch: 25 reconstruction error: 0.026312
Epoch: 26 reconstruction error: 0.025959
Epoch: 27 reconstruction error: 0.025869
Epoch: 28 reconstruction error: 0.025677
Epoch: 29 reconstruction error: 0.025602
Epoch: 30 reconstruction error: 0.025402
Epoch: 31 reconstruction error: 0.025404
Epoch: 32 reconstruction error: 0.025291
Epoch: 33 reconstruction error: 0.025350
Epoch: 34 reconstruction error: 0.025036
Epoch: 35 reconstruction error: 0.025203
Epoch: 36 reconstruction error: 0.024782
Epoch: 37 reconstruction error: 0.025103
Epoch: 38 reconstruction error: 0.024930
Epoch: 39 reconstruction error: 0.024766
Epoch: 40 reconstruction error: 0.024753
Epoch: 41 reconstruction error: 0.024769
Epoch: 42 reconstruction error: 0.024655
Epoch: 43 reconstruction error: 0.024447
Epoch: 44 reconstruction error: 0.024447
Epoch: 45 reconstruction error: 0.024477
Epoch: 46 reconstruction error: 0.024476
Epoch: 47 reconstruction error: 0.024482
Epoch: 48 reconstruction error: 0.024254
Epoch: 49 reconstruction error: 0.024144
Epoch: 50 reconstruction error: 0.024203
Epoch: 51 reconstruction error: 0.024073
Epoch: 52 reconstruction error: 0.024149
Epoch: 53 reconstruction error: 0.023968
Epoch: 54 reconstruction error: 0.024031
Epoch: 55 reconstruction error: 0.023872
Epoch: 56 reconstruction error: 0.023867
Epoch: 57 reconstruction error: 0.023797
Epoch: 58 reconstruction error: 0.023849
Epoch: 59 reconstruction error: 0.023816
Epoch: 60 reconstruction error: 0.023755
Epoch: 61 reconstruction error: 0.023767
Epoch: 62 reconstruction error: 0.023640
Epoch: 63 reconstruction error: 0.023743
Epoch: 64 reconstruction error: 0.023706
Epoch: 65 reconstruction error: 0.023720
Epoch: 66 reconstruction error: 0.023669
Epoch: 67 reconstruction error: 0.023697
Epoch: 68 reconstruction error: 0.023678
Epoch: 69 reconstruction error: 0.023593
Epoch: 70 reconstruction error: 0.023549
Epoch: 71 reconstruction error: 0.023610
Epoch: 72 reconstruction error: 0.023531
Epoch: 73 reconstruction error: 0.023566
Epoch: 74 reconstruction error: 0.023427
Epoch: 75 reconstruction error: 0.023400
Epoch: 76 reconstruction error: 0.023381
Epoch: 77 reconstruction error: 0.023293
Epoch: 78 reconstruction error: 0.023364
Epoch: 79 reconstruction error: 0.023311
Epoch: 80 reconstruction error: 0.023359
Epoch: 81 reconstruction error: 0.023274
Epoch: 82 reconstruction error: 0.023386
Epoch: 83 reconstruction error: 0.023351
Epoch: 84 reconstruction error: 0.023296
Epoch: 85 reconstruction error: 0.023240
Epoch: 86 reconstruction error: 0.023319
Epoch: 87 reconstruction error: 0.023216
Epoch: 88 reconstruction error: 0.023155
Epoch: 89 reconstruction error: 0.023187
Epoch: 90 reconstruction error: 0.023235
Epoch: 91 reconstruction error: 0.023288
Epoch: 92 reconstruction error: 0.023171
Epoch: 93 reconstruction error: 0.022984
Epoch: 94 reconstruction error: 0.023251
Epoch: 95 reconstruction error: 0.023056
Epoch: 96 reconstruction error: 0.023086
Epoch: 97 reconstruction error: 0.022978
Epoch: 98 reconstruction error: 0.023071
Epoch: 99 reconstruction error: 0.022979
New RBM:
Epoch: 0 reconstruction error: 0.049568
Epoch: 1 reconstruction error: 0.045630
Epoch: 2 reconstruction error: 0.044902
